Fund,Rank,Ticker,Company,Sector,Shares,Market Value,Weight %,Description
"Established Value Fund",1,"LH","Labcorp Holdings","Health Care",1435000,382872350,2.6152,"Operator of clinical diagnostic laboratories."
"Established Value Fund",2,"USFD","US Foods Holding","Consumer Staples",4030000,371606300,2.5383,"Broadline foodservice distributor to restaurants and institutions."
"Established Value Fund",3,"LNT","Alliant Energy","Utilities",4825000,346242000,2.3650,"Regulated electric and natural-gas utility serving Iowa and Wisconsin."
"Established Value Fund",4,"PKG","Packaging Corp. of America","Materials",1400000,297108000,2.0294,"Third-largest U.S. producer of containerboard and corrugated packaging."
"Established Value Fund",5,"CSX","CSX Corp.","Industrials",7105000,291660250,1.9922,"Class I freight railroad operating across the eastern United States."
"Established Value Fund",6,"CMS","CMS Energy","Utilities",3600000,279288000,1.9077,"Regulated electric and gas utility serving Michigan through Consumers Energy."
"Established Value Fund",7,"LOW","Lowe's Cos.","Consumer Discretionary",1165000,275266200,1.8802,"Home-improvement retail chain."
"Established Value Fund",8,"DVN","Devon Energy","Energy",5420000,272734400,1.8629,"Oil and natural-gas exploration and production company focused on U.S. shale."
"Established Value Fund",9,"RPM","RPM International","Materials",2735350,271893790,1.8572,"Maker of specialty coatings, sealants and building products."
"Established Value Fund",10,"TFC","Truist Financial","Financials",5815000,267315550,1.8259,"Large U.S. regional bank holding company formed from the BB&T–SunTrust merger."
"Established Value Fund",11,"LAMR","Lamar Advertising","Real Estate",2100000,265986000,1.8168,"REIT operating billboards and out-of-home advertising displays."
"Established Value Fund",12,"MCHP","Microchip Technology","Information Technology",4040000,261024400,1.7829,"Maker of microcontrollers and analog semiconductors."
"Established Value Fund",13,"HIG","Hartford Insurance Group","Financials",1930000,260993900,1.7827,"Property-casualty insurer and group-benefits provider (formerly The Hartford)."
"Established Value Fund",14,"LECO","Lincoln Electric Holdings","Industrials",1045000,260288600,1.7779,"Maker of arc-welding equipment, consumables and cutting systems."
"Established Value Fund",15,"KEYS","Keysight Technologies","Information Technology",900000,254133000,1.7359,"Maker of electronic test-and-measurement instruments and software."
"Established Value Fund",16,"ADM","Archer-Daniels-Midland","Consumer Staples",3475000,252597750,1.7254,"Global agricultural commodity processor and food-ingredient supplier."
"Established Value Fund",17,"DGX","Quest Diagnostics","Health Care",1287000,252226260,1.7228,"Operator of clinical diagnostic-testing laboratories."
"Established Value Fund",18,"NNN","NNN REIT","Real Estate",5905000,248187150,1.6952,"Net-lease REIT owning single-tenant retail properties."
"Established Value Fund",19,"HUBB","Hubbell","Industrials",500000,245370000,1.6760,"Manufacturer of electrical and utility-infrastructure equipment."
"Established Value Fund",20,"KNX","Knight-Swift Transportation","Industrials",4095000,235790100,1.6106,"Largest U.S. truckload freight carrier."
"Established Value Fund",21,"AWK","American Water Works","Utilities",1730000,235435700,1.6081,"Largest publicly traded U.S. water and wastewater utility."
"Established Value Fund",22,"RJF","Raymond James Financial","Financials",1610000,233111900,1.5923,"Diversified investment bank and wealth-management firm."
"Established Value Fund",23,"XYL","Xylem","Industrials",1900000,227050000,1.5509,"Maker of water-infrastructure pumps, treatment and smart-metering technology."
"Established Value Fund",24,"ELS","Equity LifeStyle Properties","Real Estate",3580000,223463600,1.5264,"REIT owning manufactured-home communities, RV resorts and marinas."
"Established Value Fund",25,"WTW","Willis Towers Watson","Financials",765000,222385500,1.5190,"Global insurance broker and risk and HR advisory firm."
"Established Value Fund",26,"AZO","AutoZone","Consumer Discretionary",65500,221244590,1.5112,"Leading U.S. retailer of automotive replacement parts and accessories."
"Established Value Fund",27,"ATR","AptarGroup","Materials",1745000,219904900,1.5021,"Maker of dispensing systems, pumps and closures for pharma, beauty and food packaging."
"Established Value Fund",28,"STLD","Steel Dynamics","Materials",1215000,218700000,1.4938,"Electric-arc-furnace steel producer and metals recycler."
"Established Value Fund",29,"EXE","Expand Energy","Energy",1970000,216266600,1.4772,"Largest U.S. natural-gas producer, formed by the Chesapeake–Southwestern merger."
"Established Value Fund",30,"CARR","Carrier Global","Industrials",3680000,207220800,1.4154,"Maker of HVAC, refrigeration and building-controls equipment."
"Established Value Fund",31,"IEX","IDEX Corp.","Industrials",1085000,205661750,1.4048,"Maker of fluid-handling pumps, metering and precision engineered products."
"Established Value Fund",32,"FCN","FTI Consulting","Industrials",1160000,205053200,1.4006,"Business-advisory firm specializing in restructuring, litigation and economic consulting."
"Established Value Fund",33,"DD","DuPont de Nemours","Materials",4450000,203810000,1.3921,"Diversified specialty-materials and chemicals company (electronics, water, industrial)."
"Established Value Fund",34,"TTC","Toro Co.","Industrials",2170000,202764800,1.3850,"Maker of turf-maintenance, landscaping and irrigation equipment."
"Established Value Fund",35,"AKAM","Akamai Technologies","Information Technology",1755000,201561750,1.3768,"Content-delivery network and cloud cybersecurity provider."
"Established Value Fund",36,"MOH","Molina Healthcare","Health Care",1505000,200616500,1.3703,"Managed-care insurer focused on Medicaid and government-sponsored health plans."
"Established Value Fund",37,"BLD","TopBuild","Industrials",570000,200241000,1.3678,"Installer and distributor of insulation and other building products."
"Established Value Fund",38,"RRX","Regal Rexnord","Industrials",1045000,195686700,1.3366,"Manufacturer of electric motors, power-transmission and automation components."
"Established Value Fund",39,"RVTY","Revvity","Health Care",2215000,194056150,1.3255,"Life-sciences and diagnostics company (former PerkinElmer life-science business)."
"Established Value Fund",40,"TXRH","Texas Roadhouse","Consumer Discretionary",1165000,192388100,1.3141,"Casual-dining steakhouse restaurant chain."
"Established Value Fund",41,"CHRD","Chord Energy","Energy",1350000,191943000,1.3111,"Williston Basin (Bakken) oil and gas exploration and production company."
"Established Value Fund",42,"LHX","L3Harris Technologies","Industrials",550000,189832500,1.2967,"Aerospace and defense contractor in communications, sensors and space systems."
"Established Value Fund",43,"CACI","CACI International","Information Technology",342000,186003540,1.2705,"Provider of IT and professional services to U.S. defense and intelligence agencies."
"Established Value Fund",44,"ORI","Old Republic International","Financials",4625000,184537500,1.2605,"Property-casualty and title insurance holding company."
"Established Value Fund",45,"CPT","Camden Property Trust","Real Estate",1876000,183210160,1.2514,"REIT that owns and operates Sun Belt multifamily apartment communities."
"Established Value Fund",46,"AFG","American Financial Group","Financials",1415000,180709650,1.2343,"Property-casualty insurance holding company centered on specialty commercial coverage."
"Established Value Fund",47,"CASY","Casey's General Stores","Consumer Staples",247500,180145350,1.2305,"Operator of convenience stores and fuel outlets across the U.S. Midwest."
"Established Value Fund",48,"WSM","Williams-Sonoma","Consumer Discretionary",985000,179595050,1.2267,"Multi-brand home-furnishings retailer (Pottery Barn, West Elm)."
"Established Value Fund",49,"SLB","SLB (Schlumberger)","Energy",3490000,179351100,1.2251,"World's largest oilfield-services company."
"Established Value Fund",50,"PAG","Penske Automotive Group","Consumer Discretionary",1195000,178676400,1.2205,"Operator of automotive dealerships and commercial-truck retail and leasing."
"Established Value Fund",51,"SARO","StandardAero","Industrials",6890000,177968700,1.2156,"Provider of aircraft-engine maintenance, repair and overhaul (MRO) services."
"Established Value Fund",52,"HLT","Hilton Worldwide Holdings","Consumer Discretionary",555000,168764400,1.1527,"Global hotel franchisor and operator."
"Established Value Fund",53,"BWA","BorgWarner","Consumer Discretionary",3099000,168151740,1.1486,"Auto-parts supplier of powertrain and vehicle-electrification components."
"Established Value Fund",54,"RSG","Republic Services","Industrials",755000,165360100,1.1295,"Provider of solid-waste collection, recycling and disposal services."
"Established Value Fund",55,"BJ","BJ's Wholesale Club","Consumer Staples",1655000,162885100,1.1126,"Membership warehouse-club retailer concentrated on the U.S. East Coast."
"Established Value Fund",56,"EL","Estée Lauder Cos.","Consumer Staples",2250000,161482500,1.1030,"Maker and marketer of prestige cosmetics, skincare and fragrance."
"Established Value Fund",57,"AGCO","AGCO Corp.","Industrials",1350000,156424500,1.0685,"Maker of agricultural machinery — tractors and combines under the Fendt, Massey Ferguson and Valtra brands."
"Established Value Fund",58,"TRMB","Trimble","Information Technology",2366000,154334180,1.0542,"Provider of positioning and geospatial technology for construction, agriculture and transport."
"Established Value Fund",59,"AMRZ","Amrize","Materials",2750000,154055000,1.0523,"North American cement and aggregates producer spun off from Holcim in 2025."
"Established Value Fund",60,"IQV","IQVIA Holdings","Health Care",900000,153486000,1.0484,"Provider of clinical-trial (CRO) services and healthcare data analytics."
"Established Value Fund",61,"BKR","Baker Hughes","Energy",2470000,150793500,1.0300,"Oilfield-services and energy-technology firm; major LNG and turbomachinery equipment supplier."
